total_latency_ms,cache_hit_rate,cache_miss_rate,expert_loads,cache_misses,memory_usage_mb,l1_hit_rate,l2_hit_rate,l3_hit_rate,strategy,strategy_name,batch_size,run,sequence_length,complexity_score,timestamp
2010.6863398937642,0.9174597364568082,0.0825402635431918,1345,1345,883.5,0.9174597364568082,0.0,0.0,A,On-Demand,16,1,2048,1.0,2025-07-21T21:44:19.694160
1986.5671475272165,0.9190458760370913,0.08095412396290874,1319,1319,883.5,0.9190458760370913,0.0,0.0,A,On-Demand,16,2,2048,1.0,2025-07-21T21:44:19.774482
1981.2566373175027,0.9194729136163983,0.08052708638360176,1312,1312,912.0,0.9194729136163983,0.0,0.0,A,On-Demand,16,3,2048,1.0,2025-07-21T21:44:19.864728
2067.9542263836784,0.9134333821376281,0.0865666178623719,1411,1411,883.5,0.9134333821376281,0.0,0.0,A,On-Demand,16,4,2048,1.0,2025-07-21T21:44:19.958733
1974.949465100465,0.9198999511957052,0.08010004880429478,1305,1305,883.5,0.9198999511957052,0.0,0.0,A,On-Demand,16,5,2048,1.0,2025-07-21T21:44:20.047150
2000.3184594899365,0.91800878477306,0.08199121522693997,1336,1336,883.5,0.91800878477306,0.0,0.0,A,On-Demand,16,6,2048,1.0,2025-07-21T21:44:20.127670
2080.002467092169,0.9126403123474865,0.08735968765251342,1424,1424,883.5,0.9126403123474865,0.0,0.0,A,On-Demand,16,7,2048,1.0,2025-07-21T21:44:20.209197
2009.0104725122958,0.9177037579306979,0.0822962420693021,1341,1341,883.5,0.9177037579306979,0.0,0.0,A,On-Demand,16,8,2048,1.0,2025-07-21T21:44:20.290271
2029.9979333315011,0.9161176183504148,0.08388238164958517,1367,1367,883.5,0.9161176183504148,0.0,0.0,A,On-Demand,16,9,2048,1.0,2025-07-21T21:44:20.370131
821.7474437724518,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8781112737920937,0.12121766715470962,0.0,B,Oracle,1,0,2048,3.0,2025-07-21T21:44:20.455261
820.9642759251018,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8757930697901415,0.12365788189360664,0.0,B,Oracle,1,1,2048,3.0,2025-07-21T21:44:20.539646
820.1556400621969,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8741459248413861,0.12530502684236214,0.0,B,Oracle,1,2,2048,3.0,2025-07-21T21:44:20.624028
823.72332232876,0.9992069302098585,0.0007930697901415325,5,5,1824.0,0.8723767691556857,0.12683016105417277,0.0,B,Oracle,1,3,2048,3.0,2025-07-21T21:44:20.708945
820.8945424811897,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8749389946315276,0.12445095168374817,0.0,B,Oracle,1,4,2048,3.0,2025-07-21T21:44:20.793210
823.5362304979675,0.9992679355783309,0.0007320644216691069,4,4,1824.0,0.8723767691556857,0.1268911664226452,0.0,B,Oracle,1,5,2048,3.0,2025-07-21T21:44:20.877555
821.6400211018424,0.9992679355783309,0.0007320644216691069,4,4,1824.0,0.8754880429477794,0.12377989263055149,0.0,B,Oracle,1,6,2048,3.0,2025-07-21T21:44:20.962424
820.8241234467575,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.872132747681796,0.12725719863347976,0.0,B,Oracle,1,7,2048,3.0,2025-07-21T21:44:21.047098
820.6047447267617,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8728648121034651,0.12658613958028306,0.0,B,Oracle,1,8,2048,3.0,2025-07-21T21:44:21.130857
820.6982400380105,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8777452415812591,0.12170571010248903,0.0,B,Oracle,1,9,2048,3.0,2025-07-21T21:44:21.214775
820.0146536695496,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8748169838945827,0.12457296242069302,0.0,B,Oracle,2,0,2048,3.0,2025-07-21T21:44:21.302348
822.8557236470415,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8698145436798438,0.12951439726695949,0.0,B,Oracle,2,1,2048,3.0,2025-07-21T21:44:21.386799
821.2275952617977,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8780502684236213,0.12127867252318204,6.1005368472425575e-05,B,Oracle,2,2,2048,3.0,2025-07-21T21:44:21.471868
820.5793312733992,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.873718887262079,0.12567105905319667,0.0,B,Oracle,2,3,2048,3.0,2025-07-21T21:44:21.556466
822.0913913413624,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8751830161054173,0.12408491947291361,6.1005368472425575e-05,B,Oracle,2,4,2048,3.0,2025-07-21T21:44:21.641102
820.3331449573925,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.87701317715959,0.1223767691556857,6.1005368472425575e-05,B,Oracle,2,5,2048,3.0,2025-07-21T21:44:21.725737
820.9728906640207,0.9992679355783309,0.0007320644216691069,4,4,1824.0,0.8771351878965349,0.122132747681796,0.0,B,Oracle,2,6,2048,3.0,2025-07-21T21:44:21.810706
819.2267627212817,0.9995119570522206,0.0004880429477794046,0,0,1824.0,0.8741459248413861,0.12536603221083456,0.0,B,Oracle,2,7,2048,3.0,2025-07-21T21:44:21.895399
820.4929559718635,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.872559785261103,0.12676915568570035,6.1005368472425575e-05,B,Oracle,2,8,2048,3.0,2025-07-21T21:44:21.980220
821.0077628380799,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8673133235724744,0.13201561737432893,0.0,B,Oracle,2,9,2048,3.0,2025-07-21T21:44:22.065093
818.6222723677773,0.9995119570522206,0.0004880429477794046,0,0,1824.0,0.8781112737920937,0.12140068326012689,0.0,B,Oracle,4,0,2048,3.0,2025-07-21T21:44:22.151702
819.3013177443262,0.9995119570522206,0.0004880429477794046,0,0,1824.0,0.8799414348462665,0.11957052220595413,0.0,B,Oracle,4,1,2048,3.0,2025-07-21T21:44:22.237496
824.0314091143865,0.9992069302098585,0.0007930697901415325,5,5,1824.0,0.8759150805270863,0.12323084431429966,6.1005368472425575e-05,B,Oracle,4,2,2048,3.0,2025-07-21T21:44:22.325024
820.53139071652,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8750610053684724,0.1242679355783309,0.0,B,Oracle,4,3,2048,3.0,2025-07-21T21:44:22.409396
822.233074880968,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8733528550512445,0.1259150805270864,6.1005368472425575e-05,B,Oracle,4,4,2048,3.0,2025-07-21T21:44:22.493821
821.1803898020686,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8723767691556857,0.12701317715959004,0.0,B,Oracle,4,5,2048,3.0,2025-07-21T21:44:22.579389
822.4700613224752,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8793923865300146,0.11987554904831625,6.1005368472425575e-05,B,Oracle,4,6,2048,3.0,2025-07-21T21:44:22.664752
821.3638804020494,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8759150805270863,0.12341386041971694,0.0,B,Oracle,4,7,2048,3.0,2025-07-21T21:44:22.749455
822.179661325665,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8813445583211322,0.11792337725719863,6.1005368472425575e-05,B,Oracle,4,8,2048,3.0,2025-07-21T21:44:22.835026
821.4688311704645,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.877440214738897,0.12194973157637873,0.0,B,Oracle,4,9,2048,3.0,2025-07-21T21:44:22.919944
823.4584132174863,0.9992069302098585,0.0007930697901415325,5,5,1824.0,0.8770741825280625,0.12207174231332357,6.1005368472425575e-05,B,Oracle,8,0,2048,3.0,2025-07-21T21:44:23.006234
819.9828929043634,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8726817959980478,0.12658613958028306,0.00012201073694485115,B,Oracle,8,1,2048,3.0,2025-07-21T21:44:23.090351
