strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,8,2,45490.0,0.0,0.0,0.0,0.0,1.0,10.0,4549,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,8,2,34266.699999999975,0.10815563860189052,0.12903934930754013,0.021323367773136953,0.25851835568256765,0.7414816443174324,7.532798417234557,4549,5.229166666666667
on_demand,On-Demand,Baseline,8,3,34569.39999999999,0.12479166666666666,0.11395833333333333,0.06,0.29874999999999996,0.70125,7.201958333333334,4800,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,8,3,34491.99999999999,0.125,0.11333333333333333,0.0625,0.3008333333333333,0.6991666666666667,7.185833333333333,4800,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,8,3,36341.499999999956,0.11979166666666667,0.10416666666666667,0.03166666666666667,0.255625,0.744375,7.5711458333333335,4800,0.0
topk_ours,Top-K (Ours),Our Contribution,8,3,37133.49999999996,0.1158173395102581,0.062210456651224356,0.008824178248400618,0.1868519744098831,0.8131480255901169,8.191815574674608,4533,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,8,3,44906.59999999996,0.009044782704610633,0.00022060445621001543,0.00022060445621001543,0.009485991617030676,0.9905140083829693,9.90659607324068,4533,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,8,3,33401.39999999995,0.12772998014559894,0.13125965144495919,0.01500110302228105,0.2739907346128392,0.7260092653871608,7.36849768365321,4533,5.5625
on_demand,On-Demand,Baseline,8,4,34823.599999999984,0.116875,0.11979166666666667,0.05625,0.2929166666666667,0.7070833333333333,7.2549166666666665,4800,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,8,4,34840.09999999999,0.11791666666666667,0.11729166666666667,0.0575,0.29270833333333335,0.7072916666666667,7.258354166666666,4800,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,8,4,36428.59999999997,0.116875,0.11020833333333334,0.025833333333333333,0.2529166666666667,0.7470833333333333,7.589291666666666,4800,0.0
topk_ours,Top-K (Ours),Our Contribution,8,4,39027.299999999916,0.09400395343729409,0.04590379969251043,0.007687239182956293,0.14759499231276085,0.8524050076872391,8.57177685042829,4553,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,8,4,45530.0,0.0,0.0,0.0,0.0,1.0,10.0,4553,0.0
