strategy,strategy_name,batch_size,run_id,inference_latency_ms,memory_usage_mb,cache_hit_rate,prefetch_accuracy,total_experts_loaded,cache_misses
B,Oracle,16,2,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,3,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,4,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,5,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,6,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,7,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,8,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
B,Oracle,16,9,2303.024000000018,3584.0,0.9982096354166666,0.022549715909090908,138,11
C,MultiLook,1,0,192.41200000000083,3584.0,0.9908854166666666,0.0,180,56
C,MultiLook,1,1,217.6750000000009,3584.0,0.9899088541666666,0.0,187,62
C,MultiLook,1,2,215.97500000000088,3584.0,0.9890950520833334,0.0,191,67
C,MultiLook,1,3,219.0200000000009,3584.0,0.9890950520833334,0.0,191,67
C,MultiLook,1,4,223.45700000000087,3584.0,0.9879557291666666,0.0,199,74
C,MultiLook,1,5,211.76600000000084,3584.0,0.9892578125,0.0,186,66
C,MultiLook,1,6,208.41300000000084,3584.0,0.990234375,0.0,186,60
C,MultiLook,1,7,210.88900000000086,3584.0,0.9905598958333334,0.0,184,58
C,MultiLook,1,8,236.41300000000086,3584.0,0.9876302083333334,0.0,199,76
C,MultiLook,1,9,215.0250000000009,3584.0,0.9918619791666666,0.0,176,50
C,MultiLook,2,0,391.08800000000167,3584.0,0.9910481770833334,0.0,178,55
C,MultiLook,2,1,451.5180000000018,3584.0,0.9894205729166666,0.0,191,65
C,MultiLook,2,2,405.6100000000017,3584.0,0.98974609375,0.0,188,63
C,MultiLook,2,3,426.81000000000165,3584.0,0.9905598958333334,0.0,182,58
C,MultiLook,2,4,426.38200000000177,3584.0,0.9889322916666666,0.0,191,68
C,MultiLook,2,5,407.96600000000166,3584.0,0.9915364583333334,0.0,175,52
C,MultiLook,2,6,400.1360000000017,3584.0,0.9915364583333334,0.0,177,52
C,MultiLook,2,7,406.9220000000017,3584.0,0.9899088541666666,0.0,185,62
C,MultiLook,2,8,419.7840000000017,3584.0,0.9903971354166666,0.0,185,59
C,MultiLook,2,9,418.7400000000017,3584.0,0.9920247395833334,0.0,174,49
C,MultiLook,4,0,896.1040000000036,3584.0,0.9900716145833334,0.0,184,61
C,MultiLook,4,1,868.6120000000034,3584.0,0.9910481770833334,0.0,178,55
C,MultiLook,4,2,956.2240000000036,3584.0,0.9889322916666666,0.0,194,68
C,MultiLook,4,3,790.5280000000033,3584.0,0.99072265625,0.0,182,57
C,MultiLook,4,4,778.8560000000034,3584.0,0.9921875,0.0,174,48
C,MultiLook,4,5,851.4000000000035,3584.0,0.9892578125,0.0,190,66
C,MultiLook,4,6,859.5640000000035,3584.0,0.9908854166666666,0.0,179,56
C,MultiLook,4,7,951.9160000000036,3584.0,0.9876302083333334,0.0,201,76
C,MultiLook,4,8,842.8600000000034,3584.0,0.9910481770833334,0.0,181,55
C,MultiLook,4,9,934.1680000000035,3584.0,0.9874674479166666,0.0,202,77
C,MultiLook,8,0,1539.2960000000066,3584.0,0.9913736979166666,0.0,179,53
C,MultiLook,8,1,1654.4560000000067,3584.0,0.9903971354166666,0.0,184,59
C,MultiLook,8,2,1534.424000000007,3584.0,0.9920247395833334,0.0,174,49
C,MultiLook,8,3,1696.480000000007,3584.0,0.9908854166666666,0.0,181,56
C,MultiLook,8,4,1630.7920000000067,3584.0,0.9910481770833334,0.0,180,55
C,MultiLook,8,5,1693.0560000000069,3584.0,0.99072265625,0.0,180,57
C,MultiLook,8,6,1710.4560000000067,3584.0,0.9915364583333334,0.0,178,52
C,MultiLook,8,7,1777.968000000007,3584.0,0.9895833333333334,0.0,190,64
C,MultiLook,8,8,1742.472000000007,3584.0,0.9881184895833334,0.0,199,73
C,MultiLook,8,9,1699.640000000007,3584.0,0.9895833333333334,0.0,187,64
C,MultiLook,16,0,3278.288000000013,3584.0,0.9889322916666666,0.0,192,68
C,MultiLook,16,1,3532.1600000000144,3584.0,0.98876953125,0.0,193,69
C,MultiLook,16,2,3590.624000000014,3584.0,0.98974609375,0.0,189,63
C,MultiLook,16,3,3754.1280000000147,3584.0,0.9864908854166666,0.0,209,83
C,MultiLook,16,4,3591.264000000014,3584.0,0.98974609375,0.0,187,63
C,MultiLook,16,5,3679.600000000014,3584.0,0.98876953125,0.0,194,69
C,MultiLook,16,6,3070.992000000014,3584.0,0.9915364583333334,0.0,175,52
C,MultiLook,16,7,3713.6480000000142,3584.0,0.9884440104166666,0.0,193,71
C,MultiLook,16,8,3269.8240000000133,3584.0,0.99267578125,0.0,170,45
C,MultiLook,16,9,3480.656000000014,3584.0,0.9884440104166666,0.0,194,71
D,TopK,1,0,225.75200000000098,3584.0,0.9918619791666666,0.0,173,50
D,TopK,1,1,215.8270000000009,3584.0,0.9944661458333334,0.0,156,34
D,TopK,1,2,190.07400000000092,3584.0,0.9943033854166666,0.0,158,35
D,TopK,1,3,209.0480000000009,3584.0,0.9951171875,0.0,149,30
D,TopK,1,4,203.7660000000009,3584.0,0.9947916666666666,0.0,154,32
D,TopK,1,5,195.29400000000092,3584.0,0.994140625,0.0,156,36
D,TopK,1,6,198.02400000000088,3584.0,0.994140625,0.0,159,36
D,TopK,1,7,201.75000000000088,3584.0,0.9933268229166666,0.0,164,41
D,TopK,1,8,199.4630000000009,3584.0,0.9951171875,0.0,153,30
D,TopK,1,9,217.86000000000092,3584.0,0.9931640625,0.0,165,42
D,TopK,2,0,394.6200000000018,3584.0,0.99462890625,0.0,156,33
D,TopK,2,1,491.1480000000019,3584.0,0.9915364583333334,0.0,175,52
D,TopK,2,2,379.1040000000018,3584.0,0.9964192708333334,0.0,144,22
D,TopK,2,3,378.1900000000018,3584.0,0.99560546875,0.0,151,27
D,TopK,2,4,405.1900000000018,3584.0,0.99365234375,0.0,160,39
D,TopK,2,5,425.92600000000186,3584.0,0.9947916666666666,0.0,155,32
D,TopK,2,6,410.14200000000176,3584.0,0.994140625,0.0,158,36
D,TopK,2,7,406.75600000000173,3584.0,0.9938151041666666,0.0,161,38
D,TopK,2,8,390.5880000000018,3584.0,0.9930013020833334,0.0,166,43
D,TopK,2,9,402.42200000000173,3584.0,0.9938151041666666,0.0,160,38
D,TopK,4,0,727.9320000000035,3584.0,0.9951171875,0.0,153,30
D,TopK,4,1,805.1600000000037,3584.0,0.99462890625,0.0,152,33
D,TopK,4,2,865.6840000000036,3584.0,0.9925130208333334,0.0,164,46
D,TopK,4,3,833.8840000000037,3584.0,0.9925130208333334,0.0,166,46
D,TopK,4,4,782.1920000000036,3584.0,0.9964192708333334,0.0,143,22
D,TopK,4,5,793.1680000000036,3584.0,0.994140625,0.0,158,36
D,TopK,4,6,841.4120000000037,3584.0,0.9939778645833334,0.0,161,37
D,TopK,4,7,860.4640000000036,3584.0,0.9934895833333334,0.0,159,40
D,TopK,4,8,863.3080000000037,3584.0,0.9930013020833334,0.0,166,43
